"kcmc","xskcdm","kcdm","xf","kclb","kkxy","category","dl","lx"
"社会思潮概论","MARX4001M（55120130）","MARX4001M","2.0","专业课","马克思主义学院","所有类（专业）","zy_qb","bl"
"社会统计","PA1002M（24122370）","PA1002M","3.0","专业课","社会学系","跨类(专业)选课","xk_1_1","bl"
"社会心理学","PSY0300G（7913N001）","PSY0300G","1.5","通识","心理与行为科学系","全部课程","xk_n","bl"
"社会心理学","PSY3015M（06121260）","PSY3015M","3.0","专业课","心理与行为科学系","qbkc","xk_rdxkc",""
"社会心理学","MGMT1001M（20124410）","MGMT1001M","3.0","专业课","管理学院","国际化课程","gjhkc","zl"
"社会学概论","PA1003M（241A0050）","PA1003M","3.0","专业课","社会学系","跨类(专业)选课","xk_1_1","bl"
"社会研究方法的实践与应用","PA3316M","PA3316M","2.0","专业课","社会学系","所有类（专业）","zy_qb","bl"
"社会医学","MED4406M（18120440）","MED4406M","2.0","专业课","公共卫生学院","所有类（专业）","zy_qb","bl"
"社会医学（乙）","MED2426M（18120444）","MED2426M","1.5","专业课","公共卫生学院","所有类（专业）","zy_qb","bl"
"社会政策","PA3015M（24122230）","PA3015M","2.0","专业课","公共管理学院","所有类（专业）","zy_qb","bl"
"社会主义发展史","MARX2003G（551E0090）","MARX2003G","1.5","通识","马克思主义学院","全部课程","xk_b","bl"
"社交网络安全与隐私","CS3174M（21191990）","CS3174M","2.0","专业课","计算机科学与技术学院","国际化课程","gjhkc","zl"
"社区卫生服务","MED5528M（18188520）","MED5528M","2.0","专业课","临床医学系","qbkc","xk_rdxkc",""
"射频电路与系统设计实验","ISEE3058M（67180020）","ISEE3058M","2.0","专业课","信息与电子工程学院","所有类（专业）","zy_qb","bl"
"涉农企业创业管理","PA3068M（20122940）","PA3068M","2.0","专业课","公共管理学院","qbkc","xk_rdxkc",""
"摄影：技术与艺术","OPT0702G（8417N003）","OPT0702G","2.0","通识","光电科学与工程学院","全部课程","xk_n","bl"
"摄影与后期制作","SAA1004F（041D0391）","SAA1004F","3.0","专业基础课程","艺术与考古学院","跨类(专业)选课","xk_1_1","bl"
"身边的毒物","MED0663G（1816N005）","MED0663G","2.0","通识","公共卫生学院","全部课程","xk_n","bl"
"身体素质课","PPAE1100G（41100001）","PPAE1100G","0.0","通识","公共体育与艺术部","体育课程","xk_8","bl"
"深度合成技术与电子取证","CS3175M（21192060）","CS3175M","2.0","专业课","计算机科学与技术学院","所有类（专业）","zy_qb","bl"
"深度学习","CSE3033M（86120260）","CSE3033M","1.5","专业课","控制科学与工程学院","所有类（专业）","zy_qb","bl"
"深度学习导论","CS2257M","CS2257M","3.5","专业课","计算机科学与技术学院","本类(专业)","zy_b","bl"
"深空探测","OPT0406G（8414N007）","OPT0406G","1.5","通识","光电科学与工程学院","全部课程","xk_n","bl"
"神经、精神与运动系统Ⅰ","MED2306M（18198340）","MED2306M","3.0","专业课","脑科学与脑医学系","所有类（专业）","zy_qb","bl"
"神经、精神与运动系统Ⅱ","MED3502M（18198360）","MED3502M","4.5","专业课","临床医学系","所有类（专业）","zy_qb","bl"
"神经工程与仿生学","MED3314M（18198030）","MED3314M","3.0","专业课","脑科学与脑医学系","所有类（专业）","zy_qb","bl"
"神经科学","MED2303M（72120420）","MED2303M","3.0","专业课","脑科学与脑医学系","所有类（专业）","zy_qb","bl"
"神经科学——探索生命的最深奥秘","MED0620G（7216N004）","MED0620G","1.5","通识","脑科学与脑医学系","全部课程","xk_n","bl"
"神经内科实习","MED5525M（18188381）","MED5525M","2.0","专业课","临床医学系","所有类（专业）","zy_qb","bl"
"神经内科实习（神经精神医学方向）","MED5529M（70188320）","MED5529M","4.0","专业课","临床医学系","所有类（专业）","zy_qb","bl"
"神经生物学","BIO3039MZ（071Q0013）","BIO3039MZ","3.0","专业课","生命科学学院","专业基础课程","Z","bl"
"神经生物学","BIO3053M（07120250）","BIO3053M","2.0","专业课","生命科学学院","所有类（专业）","zy_qb","bl"
"神经外科实习","MED5578M（18190290）","MED5578M","2.0","专业课","临床医学系","所有类（专业）","zy_qb","bl"
"神经外科实习（神经精神医学方向）","MED5530M（18181010）","MED5530M","4.0","专业课","临床医学系","所有类（专业）","zy_qb","bl"
"神经系统疾病的分子基础","MED5070M（72120610）","MED5070M","2.0","专业课","脑科学与脑医学系","所有类（专业）","zy_qb","bl"
"审计学","ECON3038M（01120600）","ECON3038M","3.0","专业课","经济学院","所有类（专业）","zy_qb","bl"
"审计学","MGMT3031M（20190421）","MGMT3031M","3.0","专业课","管理学院","所有类（专业）","zy_qb","bl"
"肾内科实习","MED5571M（18197291）","18197291","2.0","专业课","临床医学系","所有类（专业）","zy_qb","bl"
"生成式人工智能与艺术创作","CS0403G","CS0403G","2.0","通识","计算机科学与技术学院","全部课程","xk_n","bl"
"生化反应工程","CBE3004M（09120320）","CBE3004M","3.0","专业课","化学工程与生物工程学院","所有类（专业）","zy_qb","bl"
"生活中的统计学","MED0672G（7316N003）","MED0672G","2.0","通识","公共卫生学院","全部课程","xk_n","bl"
"生活中的微生物发酵实验","BIO0701G（0717N002）","BIO0701G","1.0","通识","生命科学学院","全部课程","xk_n","bl"
"生理科学实验","MED2026M（18198150）","MED2026M","2.0","专业课","基础医学系","所有类（专业）","zy_qb","bl"
"生理心理学","PSY2004M（06121270）","PSY2004M","4.0","专业课","心理与行为科学系","所有类（专业）","zy_qb","bl"
"生理学","MED2017M（18121760）","MED2017M","4.0","专业课","基础医学系","所有类（专业）","zy_qb","bl"
"生命教育概论","BIO0601G（0716N002）","BIO0601G","1.5","通识","生命科学学院","全部课程","xk_n","bl"
"生命科学导论","BIO1003G（071T0030）","BIO1003G","2.0","通识","生命科学学院","全部课程","xk_b","bl"
"生命科学导论（H）","BIO1109GH（071R6010）","BIO1109GH","3.0","通识","生命科学学院","全部课程","xk_b","bl"
"生命科学导论实验","BIO0702G（0717N003）","BIO0702G","1.0","通识","生命科学学院","全部课程","xk_n","bl"
"生命科学进展","BIO2106M（07192430）","BIO2106M","1.0","专业课","生命科学学院","所有类（专业）","zy_qb","bl"
"生命科学经典发现解读","PHAR0600G（1816N004）","PHAR0600G","1.5","通识","药学院","全部课程","xk_n","bl"
"生态安全导论","CAB0603G（1616N003）","CAB0603G","1.5","通识","农业与生物技术学院","全部课程","xk_n","bl"
"生态农业","CAB2004M（16196300）","CAB2004M","2.0","专业课","农业与生物技术学院","所有类（专业）","zy_qb","bl"
"生态学大实验","BIO0705G（0717N006）","BIO0705G","1.0","通识","生命科学学院","全部课程","xk_n","bl"
"生态学与生态文明研究进展","BIO2105M（07192420）","07192420","1.0","专业课","生命科学学院","所有类（专业）","zy_qb","bl"
"生物材料学","CAS3072M（17120513）","CAS3072M","2.5","专业课","动物科学学院","所有类（专业）","zy_qb","bl"
"生物材料学","BME3039M","BME3039M","2.0","专业课","生物医学工程与仪器科学学院","所有类（专业）","zy_qb","bl"
"生物传感器与测试技术","BEFS3013M（13120590）","BEFS3013M","2.0","专业课","生物系统工程与食品科学学院","所有类（专业）","zy_qb","bl"
"生物多样性","CAB0901G（1616S001）","CAB0901G","3.0","通识","农业与生物技术学院","全部课程","xk_n","bl"
"生物防治","CAB3313M（16121570）","CAB3313M","1.5","专业课","农业与生物技术学院","所有类（专业）","zy_qb","bl"
"生物分离工程","CBE3005M（09120340）","CBE3005M","3.0","专业课","化学工程与生物工程学院","所有类（专业）","zy_qb","bl"
"生物分析化学","CHEM3212M（77120080）","CHEM3212M","3.0","专业课","化学系","所有类（专业）","zy_qb","bl"
"生物化学（甲）","BIO2011F（071B0051）","BIO2011F","4.0","专业基础课程","生命科学学院","所有类（专业）","zy_qb","bl"
"生物化学及实验（丙）","BIO2014F（071B0070）","BIO2014F","4.0","专业基础课程","生命科学学院","所有类（专业）","zy_qb","bl"
"生物化学实验（甲）","BIO2012F（071B0061）","BIO2012F","2.0","专业基础课程","生命科学学院","所有类（专业）","zy_qb","bl"
"生物化学实验Ⅱ","BIO2034MZ（071Q0008）","BIO2034MZ","1.0","专业课","生命科学学院","专业基础课程","Z","bl"
"生物化学与分子生物学","PHAR2002M（191B0011）","PHAR2002M","3.5","专业课","药学院","所有类（专业）","zy_qb","bl"
"生物化学与分子生物学实验","PHAR2003M（191B0020）","PHAR2003M","1.5","专业课","药学院","所有类（专业）","zy_qb","bl"
"生物环境工程","13120270","13120270","3.0","专业课","生物系统工程与食品科学学院","国际化课程","gjhkc","zl"
"生物力学基础","AA3030M（26190170）","AA3030M","3.0","专业课","航空航天学院","所有类（专业）","zy_qb","bl"
"生物统计学与试验设计","16121032","16121032","3.0","专业基础课程","农业与生物技术学院","所有类（专业）","zy_qb","bl"
"生物统计学与试验设计（甲）","CAB2001F（16121033）","CAB2001F","3.0","专业基础课程","农业与生物技术学院","所有类（专业）","zy_qb","bl"
"生物统计学与试验设计（乙）","CAB2002F（16121034）","CAB2002F","3.0","专业基础课程","农业与生物技术学院","所有类（专业）","zy_qb","bl"
"生物物理学","BIO3030M（07120970）","BIO3030M","2.0","专业课","生命科学学院","所有类（专业）","zy_qb","bl"
"生物物理与仪器分析实验","BIO3077M（07120990）","BIO3077M","2.0","专业课","生命科学学院","所有类（专业）","zy_qb","bl"
"生物系统检测与控制","BEFS3015M（13120651）","BEFS3015M","2.5","专业课","生物系统工程与食品科学学院","所有类（专业）","zy_qb","bl"
"生物系统信息学","BEFS2020M（13121021）","BEFS2020M","2.5","专业课","生物系统工程与食品科学学院","所有类（专业）","zy_qb","bl"
"生物系统装备工程","BEFS3016M（13120970）","BEFS3016M","2.5","专业课","生物系统工程与食品科学学院","所有类（专业）","zy_qb","bl"
"生物信息学导论","BIO0602G（0716N004）","BIO0602G","1.5","通识","生命科学学院","全部课程","xk_n","bl"
"生物学数据库及实验","BIO3056M（07120371）","BIO3056M","2.0","专业课","生命科学学院","所有类（专业）","zy_qb","bl"
"生物学研究前沿","CAB3118M（16196200）","CAB3118M","1.5","专业课","农业与生物技术学院","所有类（专业）","zy_qb","bl"
"生物医学传感与检测","BME3004M（15192590）","BME3004M","3.0","专业课","生物医学工程与仪器科学学院","所有类（专业）","zy_qb","bl"
"生物医学图像处理","BME3003M（15192600）","BME3003M","3.0","专业课","生物医学工程与仪器科学学院","所有类（专业）","zy_qb","bl"
"生物医学信号处理","BME3001M（15120461）","BME3001M","3.0","专业课","生物医学工程与仪器科学学院","所有类（专业）","zy_qb","bl"
"生物医学信息学","BME3011M（15120520）","BME3011M","3.0","专业课","生物医学工程与仪器科学学院","所有类（专业）","zy_qb","bl"
"生物育种技能训练Ⅰ","CAB2036MZ","CAB2036MZ","4.0","专业课","农业与生物技术学院","专业基础课程","Z","bl"
"生物制品学","CAS3048M（17193020）","CAS3048M","1.5","专业课","动物科学学院","所有类（专业）","zy_qb","bl"
"生物制药学","BIO3092M（07191110）","BIO3092M","2.0","专业课","生命科学学院","所有类（专业）","zy_qb","bl"
"生物质能源与可持续利用","BEFS0403G（1314N004）","BEFS0403G","1.5","通识","生物系统工程与食品科学学院","全部课程","xk_n","bl"
"声音与新媒体传播","MIC2138M（25190430）","MIC2138M","2.0","专业课","传媒与国际文化学院","所有类（专业）","zy_qb","bl"
"十七、十八世纪英国文学","SIS2025M（05197830）","SIS2025M","2.0","专业课","外国语学院","所有类（专业）","zy_qb","bl"
"石油地质学","GEOS3011M（06198210）","GEOS3011M","2.0","专业课","地球科学学院","所有类（专业）","zy_qb","bl"
"时间序列分析","ECON3039M（01191130）","ECON3039M","3.0","专业课","经济学院","国际化课程","gjhkc","zl"
"实变函数","MATH2103M（751Q0005）","MATH2103M","3.5","专业课","数学科学学院","所有类（专业）","zy_qb","bl"
"实分析","MATH3182M（06191030）","MATH3182M","3.0","专业课","数学科学学院","所有类（专业）","zy_qb","bl"
"实体、结构与制造","CS3177M（21122010）","CS3177M","2.5","专业课","计算机科学与技术学院","所有类（专业）","zy_qb","bl"
"实验地球物理","GEOS3010M（78190030）","GEOS3010M","3.0","专业课","地球科学学院","所有类（专业）","zy_qb","bl"
"实验经济学","ECON3040M（01121160）","ECON3040M","2.0","专业课","经济学院","所有类（专业）","zy_qb","bl"
"实验空气动力学","AA3038M（26190250）","AA3038M","1.0","专业课","航空航天学院","所有类（专业）","zy_qb","bl"
"实验设计与心理统计Ⅱ","PSY2006M（79120020）","PSY2006M","2.5","专业课","心理与行为科学系","所有类（专业）","zy_qb","bl"
"实验室安全与防护","ADMN0705G（9517N001）","ADMN0705G","1.0","通识","实验室与设备管理处","全部课程","xk_n","bl"
"实验室轮转Ⅱ","AA3042M（26190310）","AA3042M","2.0","专业课","航空航天学院","所有类（专业）","zy_qb","bl"
"实验心理学","PSY2005M（06121330）","PSY2005M","4.0","专业课","心理与行为科学系","所有类（专业）","zy_qb","bl"
"实验研究导论","MGMT3013M（20124900）","MGMT3013M","2.0","专业课","管理学院","所有类（专业）","zy_qb","bl"
"实用营养与保健","MED0668G（1816N012）","MED0668G","1.5","通识","公共卫生学院","全部课程","xk_n","bl"
"食品安全风险评估","BEFS3064M（13192400）","BEFS3064M","1.5","专业课","生物系统工程与食品科学学院","所有类（专业）","zy_qb","bl"
"食品包装设计","BEFS2050M（13192290）","BEFS2050M","2.0","专业课","生物系统工程与食品科学学院","所有类（专业）","zy_qb","bl"
"食品毒理学","13120680","13120680","2.0","专业课","生物系统工程与食品科学学院","所有类（专业）","zy_qb","bl"
"食品分析","BEFS2041M（13120380）","BEFS2041M","2.5","专业课","生物系统工程与食品科学学院","所有类（专业）","zy_qb","bl"
"食品工程原理","BEFS2042M（13120391）","BEFS2042M","3.5","专业课","生物系统工程与食品科学学院","所有类（专业）","zy_qb","bl"
"食品工艺概论","BEFS3044M（13120400）","BEFS3044M","2.0","专业课","生物系统工程与食品科学学院","所有类（专业）","zy_qb","bl"
"食品化学","BEFS2040M（13192010）","BEFS2040M","2.0","专业课","生物系统工程与食品科学学院","所有类（专业）","zy_qb","bl"
"食品科学导论","BEFS1039M（13192540）","BEFS1039M","1.5","专业课","生物系统工程与食品科学学院","跨类(专业)选课","xk_1_1","bl"
"食品冷冻及保鲜技术","ENER3011M（08121140）","ENER3011M","1.5","专业课","能源工程学院","所有类（专业）","zy_qb","bl"
"食品生产设计与实践劳动","BEFS3070M（13188170）","BEFS3070M","2.5","专业课","生物系统工程与食品科学学院","qbkc","xk_rdxkc",""
"食品生物技术","BEFS3063M（13192150）","BEFS3063M","2.0","专业课","生物系统工程与食品科学学院","所有类（专业）","zy_qb","bl"
"食品微生物学","BEFS2043M（13120440）","BEFS2043M","3.0","专业课","生物系统工程与食品科学学院","所有类（专业）","zy_qb","bl"
"食品细胞工程","BEFS2051M（13192360）","BEFS2051M","1.5","专业课","生物系统工程与食品科学学院","所有类（专业）","zy_qb","bl"
"食品营养学","BEFS3047M（13120450）","BEFS3047M","2.0","专业课","生物系统工程与食品科学学院","所有类（专业）","zy_qb","bl"
"史学导论","HIST1002M（04124560）","HIST1002M","2.0","专业课","历史学院","跨类(专业)选课","xk_1_1","bl"
"史学理论","HIST2016M（04128250）","HIST2016M","2.0","专业课","历史学院","所有类（专业）","zy_qb","bl"
"世界古代中世纪史","HIST1003M","HIST1003M","3.0","专业课","历史学院","跨类(专业)选课","xk_1_1","bl"
"世界经济导论","ECON0302G（0113N003）","ECON0302G","1.5","通识","经济学院","全部课程","xk_n","bl"
"世界贸易组织法","LAW3010M（02191180）","LAW3010M","2.0","专业课","光华法学院","所有类（专业）","zy_qb","bl"
"世界名城及其治理","PA0301G（2413N002）","PA0301G","1.5","通识","公共管理学院","全部课程","xk_n","bl"
"世界名诗导读","LIT0506G（0415N010）","LIT0506G","2.0","通识","文学院","全部课程","xk_n","bl"
"世界文学史","LIT3019M（04121490）","LIT3019M","3.0","专业课","文学院","所有类（专业）","zy_qb","bl"
"世界文学史","LIT3020M（04121492）","LIT3020M","4.0","专业课","文学院","所有类（专业）","zy_qb","bl"
"世界现当代史","HIST2019M（04124820）","HIST2019M","3.0","专业课","历史学院","所有类（专业）","zy_qb","bl"
"世界艺术史","SAA1001M（56120030）","SAA1001M","3.0","专业课","艺术与考古学院","qbkc","xk_rdxkc",""
"视唱练耳","PPAE0733G（4817N008）","PPAE0733G","2.0","通识","公共体育与艺术部","全部课程","xk_n","bl"
"视觉奥秘及应用","OPT0400G（8414N001）","OPT0400G","2.5","通识","光电科学与工程学院","全部课程","xk_n","bl"
"试验设计与数据分析","13120780","13120780","2.0","专业课","生物系统工程与食品科学学院","所有类（专业）","zy_qb","bl"
"收入分配理论与政策","PA2017M（24122840）","PA2017M","2.0","专业课","公共管理学院","所有类（专业）","zy_qb","bl"
"兽医传染病学","CAS3058M（17120770）","CAS3058M","3.0","专业课","动物科学学院","所有类（专业）","zy_qb","bl"
"兽医公共卫生学","CAS4004M（17120681）","CAS4004M","2.5","专业课","动物科学学院","所有类（专业）","zy_qb","bl"
"兽医公共卫生学实验","CAS4005M（17121300）","CAS4005M","0.5","专业课","动物科学学院","所有类（专业）","zy_qb","bl"
"兽医临床药理学","CAS4042M","CAS4042M","3.0","专业课","动物科学学院","所有类（专业）","zy_qb","bl"
"兽医外科手术学","CAS3083M","CAS3083M","2.5","专业课","动物科学学院","所有类（专业）","zy_qb","bl"
"兽医针灸学","CAS4006M（17195160）","CAS4006M","1.5","专业课","动物科学学院","所有类（专业）","zy_qb","bl"
"兽医诊断学","CAS3052M（17120313）","CAS3052M","2.5","专业课","动物科学学院","所有类（专业）","zy_qb","bl"
"书法创作Ⅰ","SAA3038M（04198350）","SAA3038M","3.0","专业课","艺术与考古学院","所有类（专业）","zy_qb","bl"
"书法创作Ⅱ","SAA3041M（04198360）","SAA3041M","3.0","专业课","艺术与考古学院","所有类（专业）","zy_qb","bl"
"书法文字学","SAA3033M（04129210）","SAA3033M","2.0","专业课","艺术与考古学院","跨类(专业)选课","xk_1_1","bl"
"数据建模与分析","MATH3502M（82190090）","MATH3502M","3.0","专业课","数学科学学院","所有类（专业）","zy_qb","bl"
"数据结构基础","CS1018F（211C0020）","CS1018F","2.5","专业基础课程","计算机科学与技术学院","所有类（专业）","zy_qb","bl"
"数据结构与算法分析","BME2006M（15192580）","BME2006M","3.0","专业课","生物医学工程与仪器科学学院","所有类（专业）","zy_qb","bl"
"数据可视化导论","CS3179M（21121710）","CS3179M","2.0","专业课","计算机科学与技术学院","所有类（专业）","zy_qb","bl"
"数据库系统","CS2089M（21121350）","CS2089M","4.0","专业课","计算机科学与技术学院","所有类（专业）","zy_qb","bl"
"数据库系统原理","CS2021F（211C0030）","CS2021F","2.5","专业基础课程","计算机科学与技术学院","所有类（专业）","zy_qb","bl"
"数据通信与计算机网络","OPT2020M（66190031）","OPT2020M","1.5","专业课","光电科学与工程学院","所有类（专业）","zy_qb","bl"
"数据挖掘导论","CS3182M（21191441）","CS3182M","2.0","专业课","计算机科学与技术学院","所有类（专业）","zy_qb","bl"
"数据挖掘概论","ISEE3060M（11121230）","ISEE3060M","2.0","专业课","信息与电子工程学院","所有类（专业）","zy_qb","bl"
"数据挖掘与可视化","MIC3056M（25121380）","MIC3056M","2.0","专业课","传媒与国际文化学院","所有类（专业）","zy_qb","bl"
"数理方法（甲）Ⅱ","PHY2003F（061B0280）","PHY2003F","2.0","专业基础课程","物理学院","所有类（专业）","zy_qb","bl"
"数理方法Ⅱ","PHY2003FZ（061Q0043）","PHY2003FZ","2.0","专业基础课程","物理学院","专业基础课程","Z","bl"
"数理经济学","ECON3042M（01121140）","ECON3042M","3.0","专业课","经济学院","所有类（专业）","zy_qb","bl"
"数理逻辑","PHIL2025M（04129790）","PHIL2025M","2.0","专业课","哲学学院","所有类（专业）","zy_qb","bl"
"数理统计","MATH2402M（06121370）","MATH2402M","4.0","专业课","数学科学学院","所有类（专业）","zy_qb","bl"
"数论导引","MATH3204M（06191380）","MATH3204M","3.0","专业课","数学科学学院","所有类（专业）","zy_qb","bl"
"数码摄影技术","OPT0701G（8417N002）","OPT0701G","1.5","通识","光电科学与工程学院","全部课程","xk_n","bl"
"数学分析（甲）Ⅱ（H）","MATH1164GH（821R0060）","MATH1164GH","5.5","通识","数学科学学院","全部课程","xk_b","bl"
"数学分析Ⅱ","MATH1102G（821T0130）","MATH1102G","5.0","通识","数学科学学院","全部课程","xk_b","bl"
"数学建模（H）","MATH2761FH（061R0200）","MATH2761FH","3.0","专业基础课程","数学科学学院","专业基础课程","Z","bl"
"数学软件","MATH1601M（82190150）","MATH1601M","3.0","专业课","数学科学学院","所有类（专业）","zy_qb","bl"
"数学研讨课A","MATH2903M（82120150）","MATH2903M","2.0","专业课","数学科学学院","所有类（专业）","zy_qb","bl"
"数学研讨课B","MATH2904M（82120160）","MATH2904M","2.0","专业课","数学科学学院","所有类（专业）","zy_qb","bl"
"数学哲学","PHIL2070M（43190350）","PHIL2070M","2.0","专业课","哲学学院","国际化课程","gjhkc","zl"
"数学Ⅱ","MATH1032F（06109190）","06109190","4.0","专业基础课程","数学科学学院","所有类（专业）","zy_qb","bl"
"数值代数","MATH2601M（06121400）","MATH2601M","3.0","专业课","数学科学学院","所有类（专业）","zy_qb","bl"
"数值分析","CS2090M（21190641）","CS2090M","2.5","专业课","计算机科学与技术学院","所有类（专业）","zy_qb","bl"
"数值计算方法","ENER3213M（64190090）","ENER3213M","2.0","专业课","能源工程学院","所有类（专业）","zy_qb","bl"
"数值计算方法","CSE2024M（68120200）","CSE2024M","2.0","专业课","控制科学与工程学院","所有类（专业）","zy_qb","bl"
"数值天气预报","GEOS3009M（06122390）","GEOS3009M","3.5","专业课","地球科学学院","所有类（专业）","zy_qb","bl"
"数智驱动的健康科学","MED0462G（7314N001）","MED0462G","2.0","通识","公共卫生学院","全部课程","xk_n","bl"
"数字出版","LIT3008M（04129900）","LIT3008M","2.0","专业课","文学院","所有类（专业）","zy_qb","bl"
"数字创意","CS3183M（21122030）","CS3183M","3.0","专业课","计算机科学与技术学院","所有类（专业）","zy_qb","bl"
"数字创意设计","MIC2113M","MIC2113M","2.0","专业课","传媒与国际文化学院","qbkc","xk_rdxkc",""
"数字电路","OPT2003M","OPT2003M","2.0","专业课","光电科学与工程学院","所有类（专业）","zy_qb","bl"
"数字电路分析与设计","EE2006F（101C0251）","EE2006F","2.5","专业基础课程","电气工程学院","所有类（专业）","zy_qb","bl"
"数字法学导论","LAW3005M（02192630）","LAW3005M","2.0","专业课","光华法学院","所有类（专业）","zy_qb","bl"
"数字化城市规划方法","CCEA1501M","CCEA1501M","1.0","专业课","建筑工程学院","跨类(专业)选课","xk_1_1","bl"
"数字化设计与机器人建造","CCEA4301M（12195900）","CCEA4301M","2.0","专业课","建筑工程学院","qbkc","xk_rdxkc",""
"数字集成电路设计","ISEE3061M（85190060）","ISEE3061M","3.0","专业课","信息与电子工程学院","所有类（专业）","zy_qb","bl"
"数字建筑技术Ⅱ","CCEA3117M（12122800）","CCEA3117M","2.5","专业课","建筑工程学院","国际化课程","gjhkc","zl"
"数字经济前沿专题","ECON3043M（01196750）","ECON3043M","2.0","专业课","经济学院","所有类（专业）","zy_qb","bl"
"数字逻辑设计","CS1019F（211C0060）","CS1019F","4.0","专业基础课程","计算机科学与技术学院","所有类（专业）","zy_qb","bl"
"数字媒介文化","MIC2116M（25122080）","MIC2116M","2.0","专业课","传媒与国际文化学院","所有类（专业）","zy_qb","bl"
"数字农业","BEFS2073MZ（131Z0010）","BEFS2073MZ","2.0","专业课","生物系统工程与食品科学学院","专业基础课程","Z","bl"
"数字全球沟通","MIC3151M（25190610）","MIC3151M","2.0","专业课","传媒与国际文化学院","跨类(专业)选课","xk_1_1","bl"
"数字图像处理","ISEE3062M（67190030）","ISEE3062M","3.0","专业课","信息与电子工程学院","所有类（专业）","zy_qb","bl"
"数字图像处理与机器视觉","CSE3030M（86120310）","CSE3030M","3.0","专业课","控制科学与工程学院","所有类（专业）","zy_qb","bl"
"数字系统","ISEE1002F（85120150）","ISEE1002F","4.5","专业基础课程","信息与电子工程学院","跨类(专业)选课","xk_1_1","bl"
"数字系统设计","ISEE2006F（671C0050）","ISEE2006F","4.0","专业基础课程","信息与电子工程学院","所有类（专业）","zy_qb","bl"
"数字系统设计实验","ISEE2007F（671C0060）","ISEE2007F","1.0","专业基础课程","信息与电子工程学院","所有类（专业）","zy_qb","bl"
"数字新闻学","MIC2115M（25122070）","MIC2115M","2.0","专业课","传媒与国际文化学院","所有类（专业）","zy_qb","bl"
"数字信号处理","85120071","85120071","3.0","专业课","信息与电子工程学院","所有类（专业）","zy_qb","bl"
"数字音视频基础与制作","ISEE0401G（8514N003）","ISEE0401G","2.0","通识","信息与电子工程学院","全部课程","xk_n","bl"
"双脑与心理健康","MED0647G1","MED0647G1","2.0","通识","临床医学系","全部课程","xk_n","bl"
"水处理技术","CBE3030M（81120190）","CBE3030M","2.0","专业课","化学工程与生物工程学院","所有类（专业）","zy_qb","bl"
"水上运动Ⅱ","PPAE1002GZ","PPAE1002GZ","1.0","通识","公共体育与艺术部","体育课程","xk_8","bl"
"水上运动Ⅳ","PPAE2002GZ","PPAE2002GZ","1.0","通识","公共体育与艺术部","体育课程","xk_8","bl"
"水声学原理","OC3031M（74120041）","OC3031M","2.0","专业课","海洋学院","所有类（专业）","zy_qb","bl"
"水污染控制原理与技术","ENVR3112M（14120901）","ENVR3112M","3.0","专业课","环境与资源学院","所有类（专业）","zy_qb","bl"
"水下机器人学","OC2006M（74190390）","OC2006M","3.0","专业课","海洋学院","所有类（专业）","zy_qb","bl"
"水资源开发与保护","CCEA3750M（12122970）","CCEA3750M","2.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"水资源系统分析","CCEA3747M（12122690）","CCEA3747M","2.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"水资源与水能规划","CCEA3734M（12122990）","CCEA3734M","2.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"丝绸之路艺术","SAA0901G（0412S011）","SAA0901G","3.0","通识","艺术与考古学院","全部课程","xk_n","bl"
"丝绸之路与中外文化交流","HIST0910G（0412S012）","HIST0910G","3.0","通识","历史学院","全部课程","xk_n","bl"
"司法实习","02188050","02188050","6.0","专业课","光华法学院","qbkc","xk_rdxkc",""
"司法实习","LAW3002M（02189030）","LAW3002M","4.0","专业课","光华法学院","qbkc","xk_rdxkc",""
"思维教育与实践","PHIL2034M（04124970）","PHIL2034M","2.0","专业课","哲学学院","qbkc","xk_rdxkc",""
"四书与中华民族精神","HIST0102G（0411N009）","HIST0102G","1.5","通识","历史学院","全部课程","xk_n","bl"
"宋词经典研读","LIT0903G（0411S015）","LIT0903G","3.0","通识","文学院","全部课程","xk_n","bl"
"宋元明考古","SAA2018M（56120730）","SAA2018M","2.0","专业课","艺术与考古学院","所有类（专业）","zy_qb","bl"
"素质拓展Ⅱ","PPAE1004GZ","PPAE1004GZ","1.0","通识","公共体育与艺术部","体育课程","xk_8","bl"
"素质拓展Ⅳ","PPAE2004GZ","PPAE2004GZ","1.0","通识","公共体育与艺术部","体育课程","xk_8","bl"
"塑料加工技术及装备","09193520","09193520","2.0","专业课","能源工程学院","所有类（专业）","zy_qb","bl"
"塑性力学","AA3024M（26120120）","AA3024M","2.0","专业课","航空航天学院","所有类（专业）","zy_qb","bl"
"算法设计与分析","CS3186M（21190120）","CS3186M","2.5","专业课","计算机科学与技术学院","所有类（专业）","zy_qb","bl"
"算法设计与智能计算","ISEE3102M","ISEE3102M","3.0","专业课","信息与电子工程学院","所有类（专业）","zy_qb","bl"
"随机过程","MATH2403M（06191360）","MATH2403M","3.0","专业课","数学科学学院","所有类（专业）","zy_qb","bl"
"随机过程","MATH2434F（061B0160）","MATH2434F","1.5","专业基础课程","数学科学学院","所有类（专业）","zy_qb","bl"
